timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1,0,1,0,-7,-13,-2,-3,0
1,2,3,3,6,8,2,-1,-4
1,3,5,-1,6,5,-4,0,4
1,-2,-3,3,0,-3,-1,1,1
1,-6,-6,-5,-5,-4,-1,-3,-5
1,-1,-2,0,-4,-3,1,-1,1
1,3,-1,-6,-8,-7,-1,-3,1
1,-3,-1,-5,-2,-3,-4,-7,-9
1,-3,-5,2,7,5,1,2,0
1,7,13,5,5,3,1,0,1
1,-10,-18,-3,-1,0,1,-1,-5
1,-2,0,-2,-6,-6,-2,-1,-2
1,-1,-2,-3,-1,1,0,-1,1
1,-2,-1,-1,-1,-1,-2,-2,-4
1,3,2,-4,-3,-4,-3,-4,1
1,-4,-7,-3,-11,-12,-5,-3,-4
1,-2,0,2,-1,0,2,-2,0
1,2,1,2,10,13,0,1,4
1,0,3,4,11,3,3,-1,1
1,1,-1,0,1,10,0,-1,1
1,1,1,-4,-8,-9,-4,-4,4
1,0,-2,-9,-17,-13,-3,-2,-7
1,-1,8,-3,0,-4,-3,-13,-15
1,-10,-12,1,9,5,3,5,3
1,1,1,0,6,10,0,2,2
1,-2,-3,1,0,-2,-1,0,6
1,4,5,-1,-4,-3,-4,0,2
1,2,1,-5,-8,-6,-2,-4,-6
1,-1,-4,-1,-7,-5,-3,0,-4
1,0,2,1,1,0,2,2,-1
1,-1,1,2,-3,-1,1,2,0
1,-2,-1,4,-2,0,-2,-4,-6
1,-2,-6,-4,-1,-3,-3,0,0
1,-3,-2,-1,-2,-3,-1,-5,-6
1,0,2,-3,-7,-2,-2,0,4
1,0,3,-1,-1,-5,-3,0,0
1,0,5,6,12,6,3,-1,-6
1,-1,2,2,11,7,1,0,2
1,-1,-3,-2,-5,-2,-3,-1,1
1,0,0,-5,-9,-5,-2,-2,-4
1,2,1,-4,-7,-10,-3,-3,-6
1,-1,-2,-3,-1,-1,-1,1,1
1,1,0,1,4,4,3,3,2
1,-1,-1,-4,-4,-1,0,-1,2
1,1,4,1,-1,-2,-2,0,2
1,0,1,3,3,-1,1,-2,-3
1,-11,-15,-2,1,4,-2,-3,-8
1,0,0,0,1,1,-2,-1,1
1,-2,-2,-4,-5,-5,-1,-2,-2
1,2,-2,-4,-8,1,-2,0,5
1,2,5,6,3,-2,1,1,-1
1,2,4,5,9,5,2,0,2
1,-2,-2,-3,-7,-2,-2,-2,-1
1,-1,-1,-8,-10,-9,-5,-2,4
1,0,1,2,0,1,0,-4,-5
1,-3,-5,-1,2,4,0,-1,-4
1,2,4,-1,-4,-1,0,-1,-2
1,-6,-9,-4,-3,-4,-1,-3,-7
1,2,1,0,6,5,2,3,4
1,0,1,1,2,1,-3,0,1
1,-5,-5,-4,-7,-6,-4,-2,-1
1,-2,-3,-6,-8,-5,-3,-2,-2
1,3,2,3,6,-1,1,-1,2
1,4,3,4,4,-3,-1,2,3
1,-2,-3,2,2,1,-1,0,-3
1,-3,-1,1,-3,-3,-2,-2,-9
1,-3,-3,-6,-6,-1,-1,0,0
1,0,2,-7,-5,-1,-2,-1,4
1,-1,-3,-3,2,1,-2,0,0
1,0,2,-3,-2,-7,-5,-4,-1
1,-5,-4,-2,-7,-6,-2,-2,-9
1,-2,-6,0,-3,1,0,-1,-4
1,2,1,2,1,0,0,0,2
1,-1,-5,1,3,6,1,1,-1
1,-1,4,4,6,4,2,2,2
1,4,8,1,1,3,1,3,4
1,-8,-12,-4,-2,1,-1,0,-4
1,-3,-3,-1,-3,-4,-4,-4,-3
1,-1,-5,-8,-15,-14,-7,-3,0
1,-3,-3,2,-4,-5,-3,-2,-8
1,-1,3,3,5,4,1,-2,0
1,8,0,-3,2,3,4,4,2
1,-7,-2,-4,-8,-9,-7,-2,-3
1,-3,0,0,-1,-1,-2,1,2
1,2,1,0,1,1,0,0,6
1,-2,1,0,0,-1,1,0,1
1,1,3,-4,0,0,0,-4,-3
1,-4,-10,-4,-5,-3,-2,-2,-5
1,-10,5,-2,-3,0,0,-1,-7
1,9,9,6,5,6,7,8,16
1,-2,-9,2,1,0,1,2,0
1,-14,-18,-9,-6,-7,-13,-10,-13
1,1,-2,-3,1,0,-4,-5,-2
1,-5,-2,-1,-3,-6,0,1,-5
1,7,11,1,1,-2,1,7,6
1,19,26,3,-1,-2,4,8,7
1,-14,-26,-7,0,-1,-7,-7,-8
1,-6,-3,2,4,3,-3,-6,-6
1,3,-1,2,4,5,7,-1,0
1,13,15,4,4,13,25,7,6
1,16,14,-7,-9,-11,-23,-2,4
1,-36,-29,-9,-8,-16,-20,4,-10
1,16,-1,-2,1,1,-9,1,0
1,-22,-27,-9,-7,-8,0,-21,-12
1,11,13,9,8,16,36,14,8
1,4,6,-1,-8,-11,-23,6,3
1,26,11,0,-3,-6,-3,4,13
1,-30,-11,2,2,3,8,39,5
1,-13,-11,-3,1,-7,-15,-57,-28
1,26,28,6,5,14,27,4,7
1,-22,-16,1,-1,1,-12,-16,-11
1,20,11,-4,-6,-6,5,7,6
1,-12,-22,-9,-6,-9,-21,20,4
1,-7,-5,-1,2,-2,-9,-12,-12
1,2,20,10,9,11,19,7,5
1,-10,-14,-6,-9,-14,-27,-24,-7
1,17,6,-2,-3,1,24,27,18
1,14,13,1,-3,7,17,-7,-16
1,-3,-1,-5,-9,-15,-27,42,13
1,12,-18,-11,-5,-6,-24,-62,-23
1,-34,-9,-4,-4,-11,-18,-3,-2
1,2,-9,-1,8,11,17,9,14
1,-17,1,0,-3,4,12,8,-9
1,5,9,1,0,0,3,15,6
1,11,13,4,3,8,12,5,6
1,-2,3,1,-1,-4,-6,-6,-4
1,-9,-9,-4,-3,-2,4,7,-7
1,3,1,0,-1,3,2,-18,4
1,2,-3,3,2,5,7,9,1
1,-2,-12,-9,-10,-13,-15,-34,-10
1,11,14,4,2,3,17,-5,1
1,3,-23,-1,-2,-9,-30,22,7
1,-4,0,3,6,8,8,-45,-12
1,-5,-8,-4,-3,1,-2,17,4
1,0,-1,-6,-6,-3,0,-25,-2
1,-6,18,8,4,9,19,11,4
1,2,0,-1,0,3,-1,-5,-12
1,2,-5,-3,0,-9,-13,10,12
1,-8,-4,-2,0,0,-1,-24,-6
1,-2,4,-3,3,-2,-3,8,-9
1,5,4,0,0,-1,0,9,-4
1,3,6,-1,-6,-3,-6,-16,-1
1,-5,-10,-5,2,-4,-17,-8,-1
1,-1,-3,6,5,9,22,3,7
1,-5,2,0,-5,-3,9,51,8
1,-9,-4,2,-4,-7,-14,-59,-15
1,5,4,1,-1,2,8,24,10
1,-3,1,-3,-2,-8,-24,-27,-5
1,-9,-4,-4,1,1,9,12,5
1,19,8,3,3,2,-2,13,9
1,6,21,5,0,3,2,-6,-3
1,-21,-24,-10,-4,-5,1,0,-2
1,11,-7,-4,-7,-2,4,7,9
1,-15,-9,-3,-4,2,-4,-5,-7
1,-5,-7,0,3,-2,-8,-1,-2
1,12,15,2,1,5,9,7,2
1,11,16,3,0,-2,-2,-4,2
1,-4,-21,-9,-6,-20,-29,11,7
1,-8,-2,0,-2,1,5,-2,-14
1,-5,-2,-4,-5,-5,-9,11,-4
1,1,1,1,6,6,3,-1,-1
1,4,9,4,5,14,19,-9,1
1,-8,-11,-8,-12,-16,-25,-6,-5
1,11,7,3,5,6,10,-3,4
1,-12,-1,2,5,12,16,-5,-7
1,-6,-2,-6,-2,-7,-5,6,-5
1,0,-11,-5,0,-8,-4,-2,2
1,-1,1,-2,-5,-4,-4,4,-3
1,14,20,1,-5,-8,-6,-7,7
1,-40,-24,-3,-1,9,22,13,-2
1,15,-5,-4,-2,0,-5,0,15
1,-22,-15,-2,-3,1,2,2,-13
1,15,19,8,4,-4,-16,-11,-6
1,-10,-16,-3,3,2,6,5,5
1,2,2,-6,-6,1,3,-17,-7
1,7,8,0,0,-4,2,7,4
1,2,1,0,-3,-12,-19,12,11
1,10,11,6,6,11,4,-27,-15
1,-2,-8,-2,4,4,11,-12,-5
1,9,4,-5,-9,-16,-24,-18,-4
1,-22,-20,-8,-11,-9,-4,-5,-7
1,6,6,-1,0,2,4,33,10
1,-15,-6,1,4,0,3,0,-1
1,2,11,2,1,1,-1,-3,-4
1,7,-7,1,3,3,0,0,0
1,3,14,6,2,-5,-14,-6,-3
1,0,-2,-6,-6,1,0,-6,-4
1,-35,-42,-3,2,7,4,12,-1
1,0,8,-1,-2,-1,4,-19,-8
1,-10,-21,-15,-11,-1,6,8,-1
1,15,16,5,-1,-4,-8,15,10
1,-2,7,6,5,-1,-6,-11,-6
1,-4,-15,-8,-4,-8,-9,-10,-15
1,17,15,2,1,3,0,6,1
1,-15,-7,2,1,-3,2,-5,-3
1,12,14,3,7,9,12,24,15
1,-13,-14,-4,-4,-3,-5,-18,-4
1,8,2,-3,-5,-15,-14,-1,-1
1,-4,-7,0,-2,5,9,11,-1
1,21,6,-1,-1,-1,-7,-10,4
2,-4,7,4,4,2,0,-3,-2
2,8,10,2,0,-7,-13,4,2
2,-3,-5,2,0,-2,0,9,3
2,-14,-10,-3,-2,4,8,0,-14
2,18,6,-10,-9,-6,-12,-20,2
2,-8,-16,-8,-3,-6,-2,13,4
2,-16,2,10,6,3,5,-5,0
2,10,5,2,7,6,2,4,-1
2,1,8,0,-2,4,15,11,-1
2,1,-4,-6,-6,-1,-5,-9,-9
2,1,2,-1,-2,2,6,-1,3
2,0,3,2,-1,-3,-8,-1,2
2,3,0,0,-3,-9,-9,-7,-1
2,1,-7,-1,-3,1,2,-7,3
